Datum,Pressure(kPa)
1,12.162
2,12.172
3,12.172
4,12.172
5,12.172
6,12.172
7,12.172
8,12.162
9,12.162
10,12.162
11,12.172
12,12.172
13,12.172
14,12.172
15,12.172
16,12.162
17,12.172
18,12.162
19,12.162
20,12.162
21,12.172
22,12.162
23,12.162
24,12.157
25,12.162
