Datum,Pressure(kPa)
1,2.293
2,2.304
3,2.309
4,2.304
5,2.283
6,2.283
7,2.304
8,2.293
9,2.283
10,2.283
11,2.293
12,2.293
13,2.304
14,2.293
15,2.293
16,2.293
17,2.293
18,2.293
19,2.304
20,2.293
21,2.293
22,2.293
23,2.293
24,2.293
25,2.293
