Datum,Pressure(kPa)
1,12.772
2,12.793
3,12.782
4,12.782
5,12.782
6,12.772
7,12.782
8,12.772
9,12.772
10,12.782
11,12.782
12,12.782
13,12.782
14,12.782
15,12.772
16,12.772
17,12.772
18,12.782
19,12.772
20,12.772
21,12.772
22,12.772
23,12.772
24,12.772
25,12.772
