Datum,Pressure(kPa)
1,-0.968
2,-0.973
3,-0.968
4,-0.984
5,-0.973
6,-0.984
7,-0.968
8,-0.968
9,-0.968
10,-0.973
11,-0.973
12,-0.973
13,-0.984
14,-0.973
15,-0.973
16,-0.984
17,-0.973
18,-0.973
19,-0.973
20,-0.973
21,-0.973
22,-0.984
23,-0.973
24,-0.984
25,-0.973
