Datum,Pressure(kPa)
1,0.305
2,0.305
3,0.295
4,0.305
5,0.305
6,0.305
7,0.310
8,0.305
9,0.305
10,0.305
11,0.310
12,0.310
13,0.310
14,0.310
15,0.310
16,0.310
17,0.310
18,0.310
19,0.310
20,0.310
21,0.305
22,0.305
23,0.305
24,0.310
25,0.310
